NAME,GL,GB,PX,PX_ERR,PMTOT,PMTOT_ERR,PB,PB_ERR,PBDOT,PBDOT_ERR,PBDOT_SHK,PBDOT_SHK_ERR,PBDOT_GR,PBDOT_GR_ERR,ALOS_PB,ALOS_PB_ERR
,(deg),(deg),(mas),(mas),(mas/yr),(mas/yr),(days),(days),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(mm/s/yr),(mm/s/yr)
J0218+4232,139.508,-17.527,0.16,0.09,1.01E-15,1.39E-17,175292.3017,4.32E-06,1.40E-13,2.00E-14,4.22E-14,1.15E-14,-1.51E-15,2.20E-16,5.360913468,1.244964697
J0437-4715,253.394,-41.963,6.4,0.05,2.17E-14,3.08E-19,496026.0619,1.73E-05,3.73E-12,6.00E-15,3.77E-12,4.81E-14,-3.22E-16,1.50E-17,-0.8248933784,0.9245165279
J0613-0200,210.413,-9.305,1,0.05,1.62E-15,9.23E-19,103551.4849,4.32E-07,3.40E-14,7.00E-15,2.82E-14,2.49E-15,-8.00E-15,4.00E-15,1.256811074,0.771118479
J0737-3039A,245.236,-4.505,0.87,0.14,6.62E-16,1.08E-16,8834.534998,4.32E-06,-1.25E-12,1.70E-14,4.37E-16,1.18E-16,-1.25E-12,8.00E-16,-4.323402388,18.22799653
J0737-3039B,245.236,-4.505,0.87,0.14,6.62E-16,1.08E-16,8834.534998,4.32E-06,-1.25E-12,1.70E-14,4.37E-16,1.18E-16,-1.25E-12,8.00E-16,-4.323402388,18.22799653
J0740+6620,149.73,29.599,0.5,0.3,5.01E-15,6.16E-18,411864.0151,7.78E-06,1.17E-12,2.60E-13,1.07E-12,2.13E-13,-6.07E-16,2.10E-17,2.405012895,7.724366685
J0751+1807,202.73,21.086,0.85,0.04,2.08E-15,1.08E-17,22735.665,2.59E-07,-3.50E-14,5.00E-16,1.19E-14,5.22E-16,-4.40E-14,4.00E-15,-1.199912927,1.691685255
J1012+5307,160.347,50.858,0.9,0.08,3.94E-15,6.16E-19,52243.72248,4.32E-07,6.10E-14,6.00E-15,1.11E-13,4.78E-14,-6.00E-15,3.20E-14,-7.919916603,10.47691146
J1017-7156,291.558,-12.553,0.6,0.6,1.56E-15,1.85E-18,562628.5142,0.07776,4.00E-13,2.00E-13,1.96E-13,8.40E-14,-3.90E-16,3.00E-16,3.436911289,3.648197465
J1022+1001,231.795,51.101,1.16,0.08,3.69E-15,4.62E-16,674363.5776,0.01728,2.18E-13,9.00E-15,7.39E-13,2.00E-13,-5.20E-16,8.00E-17,-7.301109566,2.804581846
J1125-6014,292.504,0.894,0.6,0.3,2.64E-15,2.15E-18,756224.9551,3.46E-05,7.00E-13,1.00E-13,8.11E-13,5.95E-13,-2.24E-16,3.00E-17,-1.383393906,7.543946243
J1455-3330,330.722,22.562,1.3,0.1,1.25E-15,2.15E-18,6581482.728,0.001728,4.50E-12,2.20E-12,7.98E-13,6.30E-14,-1.00E-20,4.70E-46,5.32269272,3.164170766
J1518+4904,80.808,54.282,1.24,0.04,1.32E-15,6.16E-18,745978.0403,9.50E-05,-1.18E-15,5.00E-18,1.08E-13,3.50E-15,-1.18E-15,4.00E-17,-1.368364715,0.04438354062
J1600-3053,344.09,16.451,0.72,0.02,1.07E-15,1.54E-18,1239707.333,0.07776,5.00E-13,1.00E-13,2.79E-13,5.07E-15,-1.20E-16,4.00E-17,1.68636377,0.7642262382
J1603-7202,316.63,-14.496,0.3,0.3,1.19E-15,1.85E-18,545065.6034,1.64E-05,1.90E-13,4.00E-14,2.16E-13,1.04E-13,-1.00E-20,7.15E-47,-0.4455192402,1.931722868
J1614-2230,352.636,20.192,1.54,0.1,4.99E-15,9.23E-17,750523.9182,2.59E-06,1.33E-12,7.00E-14,1.28E-12,8.93E-14,-4.23E-16,3.00E-18,0.6498752058,1.430209072
J1640+2224,41.051,38.271,0.8,0.2,1.77E-15,1.08E-18,15159801.42,0.0007776,9.50E-12,1.90E-12,5.30E-12,1.37E-12,-1.00E-20,1.06E-46,2.621424337,1.463514258
J1713+0747,28.751,25.223,0.88,0.01,9.68E-16,2.15E-19,5860091.316,6.05E-05,2.64E-13,7.30E-14,6.42E-13,7.35E-15,-6.70E-18,2.00E-19,-0.6106317017,0.1184657313
J1738+0333,27.721,17.742,0.59,0.05,1.34E-15,3.08E-18,30653.91992,1.12E-07,-1.70E-14,3.10E-15,8.26E-15,5.62E-16,-2.90E-14,1.30E-14,1.153465066,4.128895632
J1741+1351,37.885,21.641,0.6,0.1,1.79E-15,3.08E-18,1411374.052,4.32E-05,1.30E-12,4.00E-13,8.46E-13,2.35E-13,-1.00E-20,4.70E-47,3.046890709,3.109745264
J1909-3744,359.731,-19.596,0.94,0.02,5.70E-15,7.70E-19,132490.0327,8.64E-08,5.09E-13,2.00E-15,5.13E-13,4.42E-15,-2.90E-15,4.00E-17,-0.079521372,0.3467909899
B1913+16,49.968,2.122,0.24,0.07,1.11E-16,1.85E-17,27906.97959,2.59E-07,-2.42E-12,1.00E-15,1.65E-16,1.06E-16,-2.40E-12,5.00E-17,-6.962596434,0.3413731982
J1933-6211,334.431,-28.631,1,0.3,1.91E-15,4.62E-18,1107596.74,8.64E-05,7.00E-13,1.00E-13,6.66E-13,1.25E-13,-1.53E-16,2.90E-17,0.2908053244,1.367101415
J2043+1711,61.919,-15.313,0.72,0.07,1.89E-15,2.46E-18,128069.9239,5.18E-07,1.00E-13,1.00E-14,7.49E-14,4.68E-15,-2.86E-15,1.60E-16,2.068206519,0.8157986438
J2129-5721,338.005,-43.57,0.26,0.17,2.05E-15,1.54E-18,572442.603,4.32E-05,1.51E-12,9.00E-14,8.93E-13,3.47E-13,-1.00E-20,0,10.20389223,5.927864709
J2145-0750,47.777,-42.084,1.4,0.08,2.02E-15,7.70E-18,590881.1859,7.78E-06,1.30E-13,2.00E-14,1.77E-13,1.25E-14,-1.00E-20,0,-0.7446672309,0.3773006364
J2222-0137,62.018,-46.075,3.73,0.016,6.94E-15,7.70E-18,211313.6636,5.18E-07,2.55E-13,7.40E-15,2.80E-13,1.35E-15,-7.98E-15,1.20E-16,-0.7572271672,0.3368589842
J2234+0611,72.991,-43.006,1.03,0.04,4.17E-15,4.62E-18,2764921.101,0.001728,3.10E-12,2.50E-12,4.80E-12,1.98E-13,-2.57E-17,1.20E-18,-5.803734839,8.582160807
