NAME,GL,GB,PX,PX_ERR,PMTOT,PMTOT_ERR,PS,PS_ERR,PSDOT_OBS,PSDOT_OBS_ERR,PSDOT_SHK,PSDOT_SHK_ERR,PSDOT_B,PSDOT_B_ERR,MODEL_PSDOT_B,MODEL_PSDOT_B_ERR,ALOS_PS,ALOS_PS_ERR,PB,PB_ERR,PBDOT,PBDOT_ERR,PBDOT_SHK,PBDOT_SHK_ERR,PBDOT_GR,PBDOT_GR_ERR,ALOS_PB,ALOS_PB_ERR,BSURF,BSURF_ERR,CHAR_AGE,CHAR_AGE_ERR
,(deg),(deg),(mas),(mas),(mas/yr),(mas/yr),(s),(s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(mm/s/yr),(mm/s/yr),(days),(days),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(mm/s/yr),(mm/s/yr),(G),(G),(s),(s)
J0023+0923,111.383,-52.849,0.55,0.13,2.136256372311932e-15,1.5390896054120547e-17,0.00305020310475439,4e-18,1.142345e-20,1.4e-25,2.6034394336900304e-21,6.165008030388827e-22,,,6.921361746543777e-21,2.3274947650005464e-22,5.889776685567403,2.0441929563548884,,,,,,,,,,,165977382.13396728,5800740.897133436,1.7291380105627834e+17,1.208632338418692e+16
J0030+0451,113.141,-57.611,3.09,0.06,9.480791969338258e-16,9.234537632472328e-18,0.00486545328635212,5e-17,1.01738e-20,3e-25,1.455890557368118e-22,4.004437505866357e-24,,,1.0304798805375263e-20,2.739697119655817e-22,-0.5378891108015537,0.5328547430037348,,,,,,,,,,,223523589.1365329,44753.47536790307,2.4258829981710176e+17,97141152236730.31
J0125-2327,188.932,-81.569,1.4,0.3,5.940885876890531e-15,1.5390896054120547e-17,0.00367537488756888,1.4e-17,1.8416e-20,1.4e-24,9.531268291358272e-21,2.0430115995888514e-21,,,7.91408261410847e-21,2.4425589838808648e-22,2.4988693707239045,5.297050626945957,,,,,,,,,,,182861786.82284126,21024204.870086443,2.0683657132797994e+17,4.756132514923579e+16
J0218+4232,139.508,-17.527,0.16,0.09,1.0050255123340719e-15,1.3851806448708493e-17,0.00232309053151224,8e-17,7.73955e-20,7e-25,1.5086030860244867e-21,8.496075473159932e-22,7.552011506943151e-20,2.6507030283389823e-22,2.2143585225278236e-20,4.43535682011129e-22,218.8977176311023,3.903641742597244,175292.301732768,4.319999999999999e-06,1.3999999999999998e-13,2.0000000000000003e-14,4.2194119515601385e-14,1.1485005348770863e-14,-1.51e-15,2.2000000000000002e-16,5.360913467700293,1.2449646971201738,424880151.1569854,2378417.884571978,1.5306269105624834e+16,171364579341993.2
J0340+4130,153.783,-11.022,0.7,0.4,5.232904658400986e-16,4.6172688162361645e-17,0.00329933936649073,1.7e-17,7.047e-21,1.2e-24,1.327667303944603e-22,7.940210639041018e-23,,,6.1489156625983946e-21,2.2420776225903265e-22,2.19481368635437,0.6821332438835557,,,,,,,,,,,152839457.1564611,877693.895936927,2.385904002540949e+17,2740252312173497.5
J0437-4715,253.394,-41.963,6.4,0.05,2.1687619447782346e-14,3.07817921082411e-19,0.00575745193671264,1.7e-17,5.729215e-20,1.7e-25,4.3526002467771087e-20,3.400491389434936e-22,1.4016934507038695e-20,6.96433617969031e-23,1.3912619392438472e-20,3.226934653469438e-22,-0.24071703186360727,0.7704268508464542,496026.06191712,1.728e-05,3.728e-12,6e-15,3.7715653538351696e-12,4.809306282333317e-14,-3.22e-16,1.5000000000000003e-17,-0.8248933783982213,0.9245165278652588,284886158.2404371,3518606.229000893,2.0911630952790013e+17,5165557736010130.0
J0610-2100,227.747,-18.184,0.72,0.11,2.893488458174663e-15,4.617268816236164e-18,0.00386132476693726,9e-17,1.232661e-20,1.1e-25,4.6187239886074414e-21,7.057923341575265e-22,,,7.426948122486968e-21,2.385398261475324e-22,0.6884254667170018,1.825619855109152,,,,,,,,,,,174576501.2373538,7992772.441867131,2.5047884473317782e+17,2.2935737550749936e+16
J0613-0200,210.413,-9.305,1.0,0.05,1.619276173854023e-15,9.23453763247233e-19,0.00306184408809467,4e-18,9.59067e-21,8e-26,8.258469907544463e-22,4.130309169618535e-23,8.348560297737822e-21,2.3838753532421236e-22,6.90932919984665e-21,2.3261352376299016e-22,5.734022347120109,0.7300882324236782,103551.4849004352,4.3199999999999995e-07,3.4e-14,7.000000000000001e-15,2.8245545031487446e-14,2.4935662180945143e-15,-8e-15,4e-15,1.2568110736142508,0.7711184789797136,165772730.0565203,390591.978094232,1.746666238933114e+17,823095356036773.4
J0636+5128,163.909,18.643,1.4,0.3,6.925903224354247e-16,1.0773627237884383e-16,0.00286895284644652,9e-17,3.508e-21,7e-24,1.0111669805480902e-22,3.819862990236894e-23,,,3.0447896284467717e-21,1.9449339504405167e-22,1.1942093586116778,0.654114257681635,,,,,,,,,,,100043830.6331071,570194.7515445253,4.2105240951582714e+17,4799533814564902.0
