NAME,GL,GB,PX,PX_ERR,PMTOT,PMTOT_ERR,PS,PS_ERR,PSDOT_OBS,PSDOT_OBS_ERR,PSDOT_SHK,PSDOT_SHK_ERR,PSDOT_B,PSDOT_B_ERR,MODEL_PSDOT_B,MODEL_PSDOT_B_ERR,ALOS_PS,ALOS_PS_ERR,PB,PB_ERR,PBDOT,PBDOT_ERR,PBDOT_SHK,PBDOT_SHK_ERR,PBDOT_GR,PBDOT_GR_ERR,ALOS_PB,ALOS_PB_ERR,BSURF,BSURF_ERR,CHAR_AGE,CHAR_AGE_ERR
,(deg),(deg),(mas),(mas),(mas/yr),(mas/yr),(s),(s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(mm/s/yr),(mm/s/yr),(days),(days),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(mm/s/yr),(mm/s/yr),(G),(G),(s),(s)
J0023+0923,111.383,-52.849,0.55,0.13,2.14E-15,1.54E-17,0.003050203105,4.00E-18,1.14E-20,1.40E-25,2.60E-21,6.17E-22,,,6.92E-21,2.33E-22,5.889776686,2.044192956,,,,,,,,,,,165977382.1,5800740.897,1.73E+17,1.21E+16
J0030+0451,113.141,-57.611,3.09,0.06,9.48E-16,9.23E-18,0.004865453286,5.00E-17,1.02E-20,3.00E-25,1.46E-22,4.00E-24,,,1.03E-20,2.74E-22,-0.5378891108,0.532854743,,,,,,,,,,,223523589.1,44753.47537,2.43E+17,97141152236730
J0125-2327,188.932,-81.569,1.4,0.3,5.94E-15,1.54E-17,0.003675374888,1.40E-17,1.84E-20,1.40E-24,9.53E-21,2.04E-21,,,7.91E-21,2.44E-22,2.498869371,5.297050627,,,,,,,,,,,182861786.8,21024204.87,2.07E+17,4.76E+16
J0218+4232,139.508,-17.527,0.16,0.09,1.01E-15,1.39E-17,0.002323090532,8.00E-17,7.74E-20,7.00E-25,1.51E-21,8.50E-22,7.55E-20,2.65E-22,,,,,175292.3017,4.32E-06,1.40E-13,2.00E-14,4.22E-14,1.15E-14,-1.51E-15,2.20E-16,5.360913468,1.244964697,424880151.2,2378417.885,1.53E+16,171364579341993
J0340+4130,153.783,-11.022,0.7,0.4,5.23E-16,4.62E-17,0.003299339366,1.70E-17,7.05E-21,1.20E-24,1.33E-22,7.94E-23,,,6.15E-21,2.24E-22,2.194813686,0.6821332439,,,,,,,,,,,152839457.2,877693.8959,2.39E+17,2.74025E+15
J0437-4715,253.394,-41.963,6.4,0.05,2.17E-14,3.08E-19,0.005757451937,1.70E-17,5.73E-20,1.70E-25,4.35E-20,3.40E-22,1.40E-20,6.96E-23,1.39E-20,3.23E-22,-0.2407170319,0.7704268508,496026.0619,1.73E-05,3.73E-12,6.00E-15,3.77E-12,4.81E-14,-3.22E-16,1.50E-17,-0.8248933784,0.9245165279,284886158.2,3518606.229,2.09E+17,5.16556E+15
J0610-2100,227.747,-18.184,0.72,0.11,2.89E-15,4.62E-18,0.003861324767,9.00E-17,1.23E-20,1.10E-25,4.62E-21,7.06E-22,,,7.43E-21,2.39E-22,0.6884254667,1.825619855,,,,,,,,,,,174576501.2,7992772.442,2.50E+17,2.29E+16
J0613-0200,210.413,-9.305,1,0.05,1.62E-15,9.23E-19,0.003061844088,4.00E-18,9.59E-21,8.00E-26,8.26E-22,4.13E-23,8.35E-21,2.38E-22,6.91E-21,2.33E-22,5.734022347,0.7300882324,103551.4849,4.32E-07,3.40E-14,7.00E-15,2.82E-14,2.49E-15,-8.00E-15,4.00E-15,1.256811074,0.771118479,165772730.1,390591.9781,1.75E+17,823095356036773
J0636+5128,163.909,18.643,1.4,0.3,6.93E-16,1.08E-16,0.002868952846,9.00E-17,3.51E-21,7.00E-24,1.01E-22,3.82E-23,,,3.04E-21,1.94E-22,1.194209359,0.6541142577,,,,,,,,,,,100043830.6,570194.7515,4.21E+17,4.79953E+15
J0645+5158,163.963,20.251,0.82,0.17,1.17E-15,6.16E-18,0.008853496686,1.10E-17,4.92E-21,4.00E-25,1.51E-21,3.14E-22,,,7.50E-21,2.39E-22,-4.371300371,0.4218024512,,,,,,,,,,,175813263.6,8090446.241,1.30E+18,1.19E+17
