NAME,GL,GB,PX,PX_ERR,DIST,DIST_ERR,PMTOT,PMTOT_ERR,PB,PB_ERR,PBDOT,PBDOT_ERR,PBDOT_SHK,PBDOT_SHK_ERR,PBDOT_GR,PBDOT_GR_ERR,ALOS_PB,ALOS_PB_ERR
,(deg),(deg),(mas),(mas),(kpc),(kpc),(mas/yr),(mas/yr),(days),(days),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(mm/s/yr),(mm/s/yr)
J0218+4232,139.508,-17.527,0.16,0.09,3.150,0.850,6.53,9.00E-02,2.028846085,5.00E-11,1.40E-13,2.00E-14,5.72E-14,1.55E-14,-1.51E-15,2.20E-16,4.544793156,1.365747581
J0437-4715,253.394,-41.963,6.4,0.05,0.157,0.002,140.912,2.00E-03,5.741042383,2.00E-10,3.73E-12,6.00E-15,3.76E-12,4.79E-14,-3.22E-16,1.50E-17,-0.5611459307,0.920054578
J0613-0200,210.413,-9.305,0.86,0.17,1.020,0.090,10.521,6.00E-03,1.198512557,5.00E-12,3.40E-14,7.00E-15,2.84E-14,2.51E-15,-8.00E-15,4.00E-15,1.239267425,0.7709218836
J0737-3039A,245.236,-4.505,0.87,0.14,1.150,0.220,4.3,7.00E-01,0.1022515625,5.00E-11,-1.25E-12,1.70E-14,4.57E-16,1.72E-16,-1.25E-12,8.00E-16,-0.4888098616,18.2143155
J0737-3039B,245.236,-4.505,0.87,0.14,1.150,0.220,4.3,0.7,0.1022515625,5.00E-11,-1.25E-12,1.70E-14,4.57E-16,1.72E-16,-1.25E-12,8.00E-16,-0.4888098616,18.2143155
J0740+6620,149.73,29.599,0.5,0.3,1.150,0.160,32.55,4.00E-02,4.766944619,9.00E-11,1.17E-12,2.60E-13,1.22E-12,1.70E-13,-6.07E-16,2.10E-17,-1.137339625,7.128393678
J0751+1807,202.73,21.086,0.85,0.04,1.170,0.050,13.54,0.07,0.2631442708,3.00E-12,-3.50E-14,5.00E-16,1.19E-14,5.21E-16,-4.40E-14,4.00E-15,-1.188269743,1.690308847
J1012+5307,160.347,50.858,0.9,0.08,1.111,0.099,25.622,4.00E-03,0.6046727138,5.00E-12,6.10E-14,6.00E-15,9.26E-14,8.26E-15,-6.00E-15,3.20E-14,-4.641502774,6.078491572
J1017-7156,291.558,-12.553,0.6,0.6,1.400,0.600,10.106,1.20E-02,6.5119041,9.00E-07,4.00E-13,2.00E-13,1.96E-13,8.38E-14,-3.90E-16,3.00E-16,3.441376858,3.644175716
J1022+1001,231.795,51.101,1.16,0.08,0.725,0.015,24,3.00E+00,7.805134,2.00E-07,2.18E-13,9.00E-15,6.85E-13,1.72E-13,-5.20E-16,8.00E-17,-6.536207071,2.411477804
J1125-6014,292.504,0.894,1.2,0.3,0.833,0.208,17.127,1.40E-02,8.752603647,4.00E-10,7.00E-13,1.00E-13,4.49E-13,1.12E-13,-2.24E-16,3.00E-17,3.137383925,1.878949458
J1455-3330,330.722,22.562,1.3,0.1,0.769,0.059,8.096,1.40E-02,76.17456861,2.00E-08,4.50E-12,2.20E-12,8.07E-13,6.19E-14,-1.00E-20,4.70E-46,5.305778146,3.161666155
J1518+4904,80.808,54.282,1.24,0.04,0.806,0.026,8.56,4.00E-02,8.634005096,1.10E-09,-1.18E-15,5.00E-18,1.07E-13,3.60E-15,-1.18E-15,4.00E-17,-1.357649859,0.04559901487
J1600-3053,344.09,16.451,0.51,0.11,1.870,0.030,6.984,1.00E-02,14.3484645,9.00E-07,5.00E-13,1.00E-13,2.75E-13,4.48E-15,-1.20E-16,4.00E-17,1.717378235,0.7634160992
J1603-7202,316.63,-14.496,0.3,0.3,2.700,1.300,7.755,1.20E-02,6.308629669,1.90E-10,1.90E-13,4.00E-14,2.15E-13,1.04E-13,-1.00E-20,7.15E-47,-0.4370652143,1.926577956
J1614-2230,352.636,20.192,1.54,0.1,0.649,0.042,32.4,6.00E-01,8.686619423,3.00E-11,1.33E-12,7.00E-14,1.24E-12,9.27E-14,-4.23E-16,3.00E-18,1.098115326,1.463337413
J1640+2224,41.051,38.271,0.8,0.2,1.080,0.280,11.526,7.00E-03,175.4606646,9.00E-09,9.50E-12,1.90E-12,5.29E-12,1.37E-12,-1.00E-20,1.06E-46,2.626548873,1.461288186
J1713+0747,28.751,25.223,0.88,0.01,1.136,0.013,6.2919,0.0014,67.82513097,7.00E-10,2.64E-13,7.30E-14,6.41E-13,7.34E-15,-6.70E-18,2.00E-19,-0.6078783338,0.1183714051
J1738+0333,27.721,17.742,0.59,0.05,1.470,0.100,8.716,0.02,0.3547907399,1.30E-12,-1.70E-14,3.10E-15,8.32E-15,5.68E-16,-2.90E-14,1.30E-14,1.133996065,4.125751232
J1741+1351,37.885,21.641,0.6,0.1,1.667,0.278,11.64,0.02,16.33534783,5.00E-10,1.30E-12,4.00E-13,7.75E-13,1.29E-13,-1.00E-20,4.70E-47,3.516412665,2.816039945
J1909-3744,359.731,-19.596,0.92,0.03,1.160,0.100,37.026,0.005,1.533449452,1.00E-12,5.09E-13,2.00E-15,5.12E-13,4.42E-14,-2.90E-15,4.00E-17,-0.02775848316,3.154757624
B1913+16,49.968,2.122,0.24,0.07,4.167,1.215,0.72,0.12,0.3229974489,3.00E-12,-2.42E-12,1.00E-15,1.47E-16,6.49E-17,-2.40E-12,5.00E-17,-6.825482869,0.3399265855
J1933-6211,334.431,-28.631,0.7,0.2,1.429,0.408,12.43,0.03,12.81940672,1.00E-09,7.00E-13,1.00E-13,5.95E-13,1.70E-13,-1.53E-16,2.90E-17,0.9011184618,1.682035552
J2043+1711,61.919,-15.313,0.72,0.07,1.389,0.135,12.25,0.016,1.482290786,6.00E-12,1.00E-13,1.00E-14,6.49E-14,6.31E-15,-2.86E-15,1.60E-16,2.801951299,0.8730272193
J2129-5721,338.005,-43.57,0.26,0.17,3.600,1.400,13.38,0.05,6.62549309,5.00E-10,1.51E-12,9.00E-14,8.97E-13,3.49E-13,-1.00E-20,0,10.12400499,5.951322894
J2145-0750,47.777,-42.084,1.4,0.08,0.625,0.015,13.14,0.05,6.838902615,9.00E-11,1.30E-13,2.00E-14,1.55E-13,3.90E-15,-1.00E-20,0,-0.400590657,0.3260564205
J2222-0137,62.018,-46.075,3.73,0.016,0.268,0.001,45.06,0.05,2.445759995,6.00E-12,2.55E-13,7.40E-15,2.80E-13,1.21E-15,-7.98E-15,1.20E-16,-0.7426882733,0.3355595398
J2234+0611,72.991,-43.006,1.03,0.04,0.971,0.038,27.1,0.03,32.00140163,2.00E-08,3.10E-12,2.50E-12,4.79E-12,1.88E-13,-2.57E-17,1.20E-18,-5.792644097,8.572858279
