NAME,GL,GB,PX,PX_ERR,DIST,DIST_ERR,PMTOT,PMTOT_ERR,PS,PS_ERR,PSDOT_OBS,PSDOT_OBS_ERR,PSDOT_SHK,PSDOT_SHK_ERR,PSDOT_B,PSDOT_B_ERR,MODEL_PSDOT_B,MODEL_PSDOT_B_ERR,ALOS_PS,ALOS_PS_ERR,PB,PB_ERR,PBDOT,PBDOT_ERR,PBDOT_SHK,PBDOT_SHK_ERR,PBDOT_GR,PBDOT_GR_ERR,ALOS_PB,ALOS_PB_ERR,BSURF,BSURF_ERR,CHAR_AGE,CHAR_AGE_ERR
,(deg),(deg),(mas),(mas),(kpc),(kpc),(mas/yr),(mas/yr),(s),(s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(mm/s/yr),(mm/s/yr),(days),(days),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(mm/s/yr),(mm/s/yr),(G),(G),(s),(s)
J0030+0451,113.141,-57.611,3.09,0.06,0.324,0.006,6.16,0.06,0.004865453286,5.00E-17,1.02E-20,3.00E-25,1.45E-22,3.91E-24,,,1.03E-20,2.74E-22,-0.4769475599,0.5324964178,,,,,,,,,,,223523589.1,44753.47537,2.43E+17,97141152236730
J0125-2327,188.932,-81.569,1.84,0.11,0.543,0.032,38.6,0.1,0.003675374888,1.40E-17,1.84E-20,1.40E-24,7.23E-21,4.28E-22,,,7.91E-21,2.44E-22,8.386202387,1.266725949,,,,,,,,,,,182861786.8,21024204.87,2.07E+17,4.76E+16
J0218+4232,139.508,-17.527,0.16,0.09,3.150,0.850,6.53,0.09,0.002323090532,8.00E-17,7.74E-20,7.00E-25,7.59E-22,2.06E-22,7.55E-20,2.65E-22,,,,,2.028846085,5.00E-11,1.40E-13,2.00E-14,5.72E-14,1.55E-14,-1.51E-15,2.20E-16,4.544793156,1.365747581,424880151.2,2378417.885,1.53E+16,171364579341993
J0340+4130,153.783,-11.022,0.7,0.4,1.429,0.816,3.19,0.1,0.003299339366,1.70E-17,7.05E-21,1.20E-24,1.17E-22,6.70E-23,,,6.15E-21,2.24E-22,2.244767907,0.6700164215,,,,,,,,,,,152839457.2,877693.8959,2.39E+17,2.74025E+15
J0437-4715,253.394,-41.963,6.4,0.05,0.157,0.002,140.912,0.002,0.005757451937,1.70E-17,5.73E-20,1.70E-25,4.36E-20,5.56E-22,1.40E-20,6.96E-23,1.39E-20,3.23E-22,-0.3943517387,1.055823384,5.741042383,2.00E-10,3.73E-12,6.00E-15,3.76E-12,4.79E-14,-3.22E-16,1.50E-17,-0.5611459307,0.920054578,284886158.2,3518606.229,2.09E+17,5.16556E+15
J0613-0200,210.413,-9.305,0.86,0.17,1.020,0.090,10.521,0.006,0.003061844088,4.00E-18,9.59E-21,8.00E-26,8.41E-22,7.42E-23,8.35E-21,2.38E-22,6.91E-21,2.33E-22,5.680056465,0.7550533088,1.198512557,5.00E-12,3.40E-14,7.00E-15,2.84E-14,2.51E-15,-8.00E-15,4.00E-15,1.239267425,0.7709218836,165772730.1,390591.9781,1.75E+17,823095356036773
J0645+5158,163.963,20.251,0.82,0.17,1.220,0.253,7.58,0.04,0.008853496686,1.10E-17,4.92E-21,4.00E-25,1.51E-21,3.13E-22,,,7.50E-21,2.39E-22,-4.366579563,0.4208307856,,,,,,,,,,,175813263.6,8090446.241,1.30E+18,1.19E+17
J0737-3039A,245.236,-4.505,0.87,0.14,1.150,0.220,4.3,0.7,0.0226993786,1.10E-15,1.76E-18,6.00E-23,1.17E-21,4.43E-22,1.77E-18,4.37E-20,,,,,0.1022515625,5.00E-11,-1.25E-12,1.70E-14,4.57E-16,1.72E-16,-1.25E-12,8.00E-16,-0.4888098616,18.2143155,6393807689,783655.6359,6.45325E+15,1581883318327
J0737-3039B,245.236,-4.505,0.87,0.14,1.150,0.220,4.3,0.7,2.77346077,8.00E-11,8.92E-16,8.00E-18,1.43E-19,5.41E-20,8.93E-16,9.62E-18,,,,,0.1022515625,5.00E-11,-1.25E-12,1.70E-14,4.57E-16,1.72E-16,-1.25E-12,8.00E-16,-0.4888098616,18.2143155,1591506627464,7138102100,1.55488E+15,13947661934627
J0740+6620,149.73,29.599,0.5,0.3,1.150,0.160,32.55,0.04,0.002885736411,5.00E-18,1.22E-20,1.70E-25,8.55E-21,1.19E-21,3.99E-21,1.82E-21,-2.84E-21,1.69E-22,21.26660127,3.936712695,4.766944619,9.00E-11,1.17E-12,2.60E-13,1.22E-12,1.70E-13,-6.07E-16,2.10E-17,-1.137339625,7.128393678,-999,999,-5.32E+17,1.76E+18
J0751+1807,202.73,21.086,0.85,0.04,1.170,0.050,13.54,0.07,0.003478770839,1.30E-17,7.79E-21,8.00E-26,1.81E-21,7.98E-23,6.41E-21,6.17E-22,5.73E-21,2.20E-22,0.667764432,0.6360110447,0.2631442708,3.00E-12,-3.50E-14,5.00E-16,1.19E-14,5.21E-16,-4.40E-14,4.00E-15,-1.188269743,1.690308847,145692904.4,1076919.574,2.92E+17,4.31539E+15
